,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,country,metric
725,15.15213214,15.05226301,14.24850268,14.50222816,15.87142504,15.15848532,16.38280007,15.97192017,15.1223437,14.80819108,14.51206452,15.47569307,16.14273014,18.2261214,16.94113315,14.5250468,16.739174,16.21228447,14.75227706,14.04676875,15.7311209,14.12783645,Finland,emissions_per_capita
726,9.479724166,9.921085651,9.583730436,9.15452522,9.070723958,9.119849047,9.581579854,9.425872609,9.601049199,9.317845225,9.192238332,9.211668751,9.025931843,9.070740272,8.941069518,8.818230536,8.60341933,8.450156224,8.457074117,8.152524731,8.183198527,7.692612493,France,emissions_per_capita
727,5.113979483,4.802618256,4.680044381,4.592905558,3.586828021,3.612905158,3.549705083,3.670640806,3.6238802,3.676595838,2.571345278,2.497029046,2.325889108,2.632859706,2.61126317,2.660796402,2.534458098,2.648199999,2.729653869,2.699940629,2.815502061,2.874476618,French Polynesia,emissions_per_capita
728,12.89221604,11.73565844,14.0319932,11.43481789,11.58698907,12.17762288,12.17111687,11.3455115,32.50326456,29.72355,26.73310481,10.91004423,9.817012982,11.17431494,11.23359599,10.29623756,9.912730638,9.078022169,41.94048201,9.503367756,22.08493246,21.76174845,Gabon,emissions_per_capita
729,1.297528607,1.202956198,1.204041743,1.154459425,1.153273415,1.167417283,1.132227909,1.110384137,1.802108799,2.275800221,2.331412778,2.944202957,2.606027955,1.805814677,2.233737212,2.083660178,2.521701571,2.622596952,2.111514297,1.838415094,2.056449552,2.004417394,Gambia,emissions_per_capita
730,7.959307039,6.49776174,5.603286221,4.686373582,3.392499918,2.876272011,2.80137549,2.665053646,2.505953609,2.466561662,2.6151021,2.231473714,4.738919922,2.244465101,2.395400471,2.670684439,2.862726451,3.156539294,3.047676774,3.330849678,3.338926075,3.784722658,Georgia,emissions_per_capita
731,15.81299424,15.23506404,14.37274143,14.14099003,13.94843729,13.85584935,14.07727888,13.68830992,12.92424753,12.42860215,12.36196209,12.45882738,12.21267192,12.32805642,12.32034498,11.89880638,12.07488346,11.82617152,12.08275643,11.60484293,11.59259408,11.36389618,Germany,emissions_per_capita
732,2.016342543,1.652144664,1.851516124,1.737262011,1.713307401,1.820346959,1.782285957,1.787418484,7.260974202,5.141656258,5.721108065,5.410348835,4.692989821,5.320275852,3.410778862,5.290429086,4.739670263,4.764451867,5.367411523,4.42423607,4.376752069,4.297338492,Ghana,emissions_per_capita
733,9.479358263,9.270130438,9.321248726,9.208266469,9.267839398,9.401771268,9.648069895,9.95819943,10.62123328,10.20821733,10.66328941,10.49700933,10.5635834,10.86479516,10.78196456,10.92498212,10.64513984,11.5303045,10.58966842,10.20668275,9.666638142,9.456541082,Greece,emissions_per_capita
734,3.621965827,3.68223009,3.751344665,3.812223732,3.844380901,3.875980645,3.920647406,3.965208393,4.311931194,4.059387522,4.096591281,4.132984738,4.157388048,4.196258434,4.23315967,4.280038816,4.340754395,4.406659005,4.473549567,4.522222868,4.526342705,4.573961756,Greenland,emissions_per_capita
